Athlete ID		VO2 Max		Reaction Time	Balance		Strength	Mile Time
16807000		43			2.21064			5			7			354
95812591		34			1.59281			9			10			407
2073064990		42			1.92327			4			10			471
892603199		78			1.97195			9			7			590
358394638		58			2.92978			8			10			353
688978230		46			1.90599			10			3			584
1371314096		48			1.07477			8			10			346
1418199866		29			2.03715			3			10			452
1524642016		68			1.98956			8			8			522
569038727		78			2.03477			4			8			580
1402505112		72			1.58393			10			5			429
310326898		50			2.5285			4			7			352
175664781		29			2.49479			3			7			550
1104369633		50			2.6346			8			10			564
530711404		77			1.44903			8			10			564
418498249		58			1.0305			4			10			585
173453436		73			1.63454			10			4			451
456064311		54			2.43995			6			5			549
966026502		74			1.72152			7			5			370
1823839272		26			2.53505			7			5			490
